TRIAL_NO,ORIENT,ARGUMENT_1,ARGUMENT_2,ANGLE_A,ANGLE_B,N_A,N_B,N_COIN,TIME,N_ACTUAL
1,N(VV),A,B,-45,-22.5,418879,275446,11312,9.99116,11124.8
2,N(HH),A+90,B+90,45,67.5,420169,270848,12151,9.96374,11965.9
3,N(VH),A,B+90,-45,67.5,420894,273547,4241,10.00013,4054.4
4,N(HV),A+90,B,45,-22.5,421810,275305,3759,10.00011,3570.8
5,N(VV),A,B_PRIME,-45,22.5,419836,293497,3817,10.00018,3617.3
6,N(HH),A + 90,B_PRIME + 90,45,112.5,420581,254665,3370,10.00010,3196.4
7,N(VH),A,B_PRIME + 90,-45,112.5,419636,254455,12036,9.99132,11862.8
8,N(HV),A + 90,B_PRIME,45,22.5,420469,292662,12456,9.98231,12256.2
9,N(VV),A_PRIME,B,0,-22.5,441672,273289,12704,9.99151,12508.2
10,N(HH),A_PRIME + 90,B + 90,90,67.5,401713,276152,12693,10.00059,12513.2
11,N(VH),A_PRIME,B + 90,0,67.5,442972,271502,3127,10.00014,2932.0
12,N(HV),A_PRIME + 90,B,90,-22.5,392404,272708,2535,9.93094,2360.3
13,N(VV),A_PRIME,B_PRIME,0,22.5,440930,293074,13016,9.97128,12805.9
14,N(HH),A_PRIME + 90,B_PRIME + 90,90,112.5,396189,253976,12300,10.00054,12136.9
15,N(VH),A_PRIME,B _PRIME + 90,0,112.5,441152,254447,3270,10.00012,3088.0
16,N(HV),A_PRIME + 90,B_PRIME,90,22.5,395007,292396,3142,9.99118,2954.6
