Trial Number,Angle A,Angle B,N_A,N_B,N_COIN,TIME [s],N_coin / time
1,0,0,,,14340,10.00077,1433.889591
2,0,22.5,,,13079,9.99107,1309.068999
3,0,30,,,11696,9.99126,1170.623125
4,0,45,,,8637,10.00051,863.6559535
5,0,60,,,5221,9.99106,522.5671751
6,0,67.5,,,3204,10.00011,320.3964756
7,0,90,,,1333,9.9817,133.5443862
8,0,100,,,1651,9.98067,165.4197564
9,0,112.5,,,3362,10.00016,336.1946209
10,0,120,,,4630,9.98259,463.8074888
11,0,135,,,7974,9.99137,798.0887506
12,0,157.5,,,12707,9.98914,1272.08148
13,0,170,,,14426,10.00071,1442.497583
14,0,180,,,15080,10.00054,1507.918572
15,0,80,,,1912,9.98143,191.555719
16,0,130,,,6912,9.99126,691.8046373
17,0,150,,,11502,9.99121,1151.211915
18,0,40,,,9622,9.98895,963.2644072
19,0,10,,,13882,9.99215,1389.290593
