Trial Number,Angle A,Angle B,N_A,N_B,N_COIN,TIME [s],N_coin / time,,,
1,0,0,,,14340,10.00077,1433.889591,,,
2,0,22.5,,,13079,9.99107,1309.068999,,,
3,0,30,,,11696,9.99126,1170.623125,,,
4,0,45,,,8637,10.00051,863.6559535,,,
5,0,60,,,5221,9.99106,522.5671751,,,
6,0,67.5,,,3204,10.00011,320.3964756,,,
7,0,90,,,1333,9.9817,133.5443862,,,
8,0,100,,,1651,9.98067,165.4197564,,,
9,0,112.5,,,3362,10.00016,336.1946209,,,
10,0,120,,,4630,9.98259,463.8074888,,,
11,0,135,,,7974,9.99137,798.0887506,,,
12,0,157.5,,,12707,9.98914,1272.08148,,,
13,0,170,,,14426,10.00071,1442.497583,,,
14,0,180,,,15080,10.00054,1507.918572,,,
15,0,80,,,1912,9.98143,191.555719,,,
16,0,130,,,6912,9.99126,691.8046373,,,
17,0,150,,,11502,9.99121,1151.211915,,,
18,0,40,,,9622,9.98895,963.2644072,,,
19,0,10,,,13882,9.99215,1389.290593,,,
,0,0.00  44732  29773,1386 100011,0,44732,29773,1386,100011,,
,0,0.00  44703  29237,1414 100008,0,44703,29237,1414,100008,,
,0,0.00  44872  29324,1438 100005,0,44872,29324,1438,100005,,
,0,0.00  45242  29376,1474 100004,0,45242,29376,1474,100004,,
,0,0.00  45284  29419,1431 100009,0,45284,29419,1431,100009,,
,0,0.00  44906  29301,1434 100012,0,44906,29301,1434,100012,,
,0,0.00  44891  29392,1460 100010,0,44891,29392,1460,100010,,
,0,0.00  44571  29171,1398 100003,0,44571,29171,1398,100003,,
,0,0.00  45113  29442,1445 100003,0,45113,29442,1445,100003,,
,0,0.00  44800  29307,1460 100012,0,44800,29307,1460,100012,14340,1000077
,0,22.50  44990  29643,1320 100005,22.5,44990,29643,1320,100005,,
,0,22.50  44991  29540,1320 100003,22.5,44991,29540,1320,100003,,
,0,22.50  45101  29968,1306 100011,22.5,45101,29968,1306,100011,,
,0,22.50  44562  29549,1330 100001,22.5,44562,29549,1330,100001,,
,0,22.50  45237  29793,1335 100007,22.5,45237,29793,1335,100007,,
,0,22.50  44510  29577,1349 100006,22.5,44510,29577,1349,100006,,
,0,22.50  44822  29844,1290 100006,22.5,44822,29844,1290,100006,,
,0,22.50  45271  29945,1305 100009,22.5,45271,29945,1305,100009,,
,0,22.50  44696  29907,1261 100007,22.5,44696,29907,1261,100007,,
,0,22.50  44462  29475,1263  99052,22.5,44462,29475,1263,99052,13079,999107
,0,30.00  44839  29676,1150 100003,30,44839,29676,1150,100003,,
,0,30.00  44191  29638,1156  99067,30,44191,29638,1156,99067,,
,0,30.00  44937  29670,1146 100006,30,44937,29670,1146,100006,,
