Dial Tau,Actual Tau?,Coincident Counts
45,-7,0.093
46,-5.6,0.086
47,-4.2,0.082
48,-2.8,0.064
49,-1.4,0.08
50,0,0.097
50,0,0.096
50.2,0.28,0.094
50.4,0.56,0.095
50.6,0.84,0.095
50.8,1.12,0.118
51,1.4,0.151
51,1.4,0.13
51.2,1.68,0.167
51.4,1.96,0.421
51.6,2.24,0.815
51.8,2.52,1.145
52,2.8,1.69
52,2.8,1.677
52.2,3.08,1.717
52.4,3.36,1.842
52.6,3.64,2.015
52.8,3.92,1.931
53,4.2,1.901
54,5.6,1.96
55,7,1.923
56,8.4,1.941
57,9.8,1.981
58,11.2,1.892
59,12.6,2.001
60,14,1.907
61,15.4,1.906
62,16.8,1.934
63,18.2,1.966
64,19.6,1.96
65,21,1.875
66,22.4,1.944
67,23.8,1.936
68,25.2,1.934
69,26.6,1.905
70,28,1.94
71,29.4,1.946
72,30.8,1.982
73,32.2,1.81
73.8,33.32,1.99
74,33.6,1.821
74,33.6,1.929
74.2,33.88,1.703
74.4,34.16,1.305
74.6,34.44,0.985
74.8,34.72,0.689
75,35,0.359
75,35,0.215
75.2,35.28,0.197
75.4,35.56,0.13
75.6,35.84,0.116
75.8,36.12,0.104
76,36.4,0.107
76,36.4,0.094
76.2,36.68,0.126
76.4,36.96,0.104
76.6,37.24,0.113
76.8,37.52,0.092
77,37.8,0.092
77,37.8,0.114
78,39.2,0.086
